Date,High,Low,Open,Close,Volume,Adj Close
31-12-2019,54.70000076,54.34999847,54.70000076,54.47999954,34700,48.24412537
02-01-2020,56.16999817,55.77000046,55.93999863,56.09000015,61100,49.66984558
03-01-2020,54.95000076,54.5,54.68000031,54.5,58700,48.26183701
06-01-2020,54.77999878,53.81999969,53.84000015,54.72999954,60900,48.46551132
07-01-2020,54.84999847,54.59999847,54.72999954,54.59999847,15800,48.35039139
08-01-2020,55.36000061,54.68999863,54.68999863,55.11999893,18500,48.81087112
09-01-2020,55.38000107,54.99000168,55.38000107,55.31000137,22300,48.97912598
10-01-2020,55.13000107,54.79999924,55.09000015,54.79999924,33800,48.52749634
13-01-2020,54.63000107,54.00999832,54.02999878,54.61000061,21700,48.35924911
14-01-2020,54.04000092,53.68000031,53.81000137,53.93000031,38700,47.75708008
15-01-2020,52.79000092,52.31999969,52.75,52.45000076,59100,46.44648361
16-01-2020,52.45000076,52.13999939,52.36000061,52.45000076,36800,46.44648361
17-01-2020,52.16999817,51.74000168,52.09000015,51.84999847,39200,45.91515732
21-01-2020,51.63999939,51.22000122,51.61000061,51.31000137,61600,45.43696976
22-01-2020,50.56000137,50.06999969,50.50999832,50.15000153,68900,44.40974426
23-01-2020,49.49000168,48.93000031,49.47999954,49.43999863,71100,43.78101349
24-01-2020,49.15000153,48.11000061,49.15000153,48.20000076,96600,42.68294525
27-01-2020,47.22999954,46.77000046,46.86000061,46.88000107,77800,41.51403809
28-01-2020,47.91999817,47.20000076,47.25999832,47.84999847,43100,42.37300873
29-01-2020,47.93999863,47.40999985,47.61000061,47.61000061,20400,42.1604805
30-01-2020,47.56999969,47.09000015,47.25999832,47.56999969,24500,42.12505722
31-01-2020,46.63000107,46,46.61000061,46.11999893,54700,40.84102631
03-02-2020,46.15000153,45.84999847,45.90999985,45.84999847,41900,40.60193253
04-02-2020,46.97999954,46.52999878,46.97999954,46.79000092,42000,41.43433762
05-02-2020,48.58000183,47.95999908,48.00999832,48.43999863,72100,42.89547348
06-02-2020,48.93000031,48.25,48.93000031,48.49000168,38400,42.93975449
