Date,High,Low,Open,Close,Volume,Adj Close
24-02-2020,165.1000061,161.8600006,161.8800049,162.9900055,1189100,159.8833923
25-02-2020,165.3500061,161.2400055,165,161.5099945,764600,158.4315948
26-02-2020,164.3800049,159.8600006,161.8899994,159.8999939,709200,156.8522949
27-02-2020,161.3699951,155.7899933,158.0899963,156.0899963,809300,153.1149139
28-02-2020,158,152.5099945,154.1100006,157.75,1112200,154.7432861
02-03-2020,161.4600067,154.6399994,156.3600006,161.2100067,566800,158.1373444
03-03-2020,163.5800018,156.1199951,161.2100067,156.7299957,528200,153.7427063
04-03-2020,160.6450043,155.5399933,157.5800018,160.3800049,624600,157.3231506
05-03-2020,157.25,153.1199951,155.6100006,154.1900024,630000,151.2511139
06-03-2020,153.2899933,149.3000031,152.2700043,152.1799927,855100,149.2794342
09-03-2020,145.3099976,137.1799927,141.1699982,137.7299957,1259500,135.1048584
10-03-2020,147.4450073,141.3699951,145.8899994,146.3399963,949900,143.5507355
11-03-2020,147.3800049,140.3600006,146.3500061,143.0399933,840300,140.3136444
12-03-2020,134.9100037,128.2400055,132.9499969,129.9900055,1288900,127.5123978
13-03-2020,143.9299927,132.6699982,143.9299927,142.2799988,789700,139.5681458
16-03-2020,139.6799927,127.7300034,129.3600006,129.3200073,1404500,126.8551636
17-03-2020,139.9700012,133.0599976,139.0099945,136.6100006,1493700,134.0062103
18-03-2020,138.6000061,130.1999969,134.1100006,134.0500031,1276700,131.4950104
19-03-2020,139.4900055,133.1499939,135.9700012,136.6999969,1058700,134.0944824
20-03-2020,147.9900055,137.1799927,137.4199982,139.5599976,784500,136.8999786
23-03-2020,137.6199951,129.5,132.8099976,129.5,761200,127.031723
24-03-2020,149.9799957,138.9600067,140.7899933,144.9499969,574700,142.1872406
25-03-2020,156.9400024,147.9799957,149.3399963,154.0599976,1378400,151.1235962
26-03-2020,157.7700043,151.1999969,151.6499939,157.1799927,711900,154.1841278
27-03-2020,154.0700073,149.4799957,152.6100006,150.0299988,619700,147.1704102
30-03-2020,154.4299927,150.5,151.2100067,154.2899933,343600,151.3492126
31-03-2020,156.4499969,151.5099945,152.4499969,152.5700073,562300,149.6620178
01-04-2020,153.0299988,147.0200043,152.7200012,148.4499969,572900,145.6205292
02-04-2020,148.2599945,141.5399933,146.3300018,141.8500061,729600,139.146347
03-04-2020,140.6900024,134.2400055,139.1000061,134.8300018,693900,132.2601318
06-04-2020,147.1799927,138.9100037,139.8699951,147.0099945,547100,144.2079773
07-04-2020,151.4199982,146,150.5500031,146.4799957,514100,143.6880798
08-04-2020,155,150.0500031,150.6900024,154.0099945,345600,151.0745544
09-04-2020,158.6000061,152.8399963,154,157.0399933,331200,154.046814
13-04-2020,157.6000061,152.5099945,157.4799957,153.4199982,192000,150.4958038
14-04-2020,157.1100006,154.4400024,155.5599976,155.7599945,400400,152.791214
15-04-2020,153.2599945,150,152.8500061,150.6000061,271700,147.7295685
16-04-2020,156.1999969,151.9900055,154.7200012,154.3000031,145800,151.3590393
17-04-2020,163.3899994,160.5749969,162.8899994,161.3399963,484700,158.2648468
20-04-2020,159.3099976,156.6300049,158.9900055,157.0099945,215400,155.1996002
21-04-2020,159.0200043,153.0899963,158.3399963,153.1499939,337700,151.3841095
22-04-2020,158.75,156.4499969,157.2899933,158.0200043,370300,156.1979675
23-04-2020,159.2799988,156.2799988,156.5299988,157.0200043,163900,155.2095032
24-04-2020,158,155.1799927,158,156.3500061,217300,154.547226
27-04-2020,159.5,157.4600067,157.5599976,158.5,245800,156.6724396
28-04-2020,159.5500031,155.8600006,159.5299988,155.8600006,327000,154.0628815
29-04-2020,159.9400024,157.25,159,157.25,430800,155.4368439
30-04-2020,158.1150055,154.5549927,156.3699951,155.6199951,323200,153.8256378
01-05-2020,153.9100037,147.0800018,153.6900024,148.9900055,512800,147.2720795
04-05-2020,159.9199982,153.2599945,154.2599945,158.5299988,570500,156.7020874
05-05-2020,157.5149994,154.2649994,155.5299988,156.0399933,432800,154.2407837
06-05-2020,158.8399963,155.4900055,158.3300018,155.6999969,192100,153.9047089
07-05-2020,157.9100037,155.4600067,157.8899994,157.2799988,101700,155.466507
08-05-2020,160.6000061,158.2299957,158.3300018,159.8699951,239000,158.0266266
11-05-2020,161.1699982,158.1999969,158.7100067,160.0500031,120700,158.2045593
12-05-2020,160.1900024,156.8800049,160.1399994,156.9100037,152500,155.1007538
13-05-2020,158.3399963,153.4349976,158.2299957,154.7599945,180100,152.9755402
14-05-2020,154.9799957,150.9700012,151.1999969,154.8099976,151800,153.0249786
15-05-2020,158.6699982,156.0899963,157.5200043,157.3899994,154000,155.5752258
18-05-2020,164.3000031,161.1699982,161.3800049,162.7599945,230100,160.883316
19-05-2020,161.3699951,158.1399994,159.7700043,158.25,497000,156.4253082
20-05-2020,160.5200043,158.0200043,159.9700012,158.7899933,282100,156.9590912
21-05-2020,160.8699951,157.8249969,160.8600006,158.7599945,157900,156.9294281
22-05-2020,160.8809967,158.8600006,159.5299988,160.4799957,124000,158.6295929
26-05-2020,164.4299927,162.4600067,164.0800018,162.7799988,175500,160.9030762
27-05-2020,164.9900055,161.1199951,164.9400024,163.3699951,335600,161.4862823
28-05-2020,169.3899994,164.3000031,164.8000031,166.6900024,301500,164.7679901
29-05-2020,170.0800018,167.0899963,169.9900055,168.7100067,347200,166.7647095
01-06-2020,170.4199982,168.4499969,168.4799957,169.4499969,241800,167.49617
02-06-2020,171.3699951,169.4100037,169.4100037,171.2100067,223100,169.2358704
03-06-2020,176.9600067,173.9499969,174.1399994,176.1900024,273900,174.1584625
04-06-2020,176.1999969,173.9499969,174.1000061,173.9900055,319100,171.9838409
05-06-2020,174.2200012,170.3800049,173.3000031,170.8500061,443300,168.8800354
08-06-2020,172.9499969,169.7700043,171.3300018,172.6000061,176700,170.6098633
09-06-2020,175.3300018,171.75,172.0399933,174.5099945,326900,172.4978333
10-06-2020,176.9799957,174.5399933,175.8000031,175.6799927,210800,173.6543274
11-06-2020,170.9799957,164.2799988,169.3600006,165.2899933,351700,163.38414
12-06-2020,170.5099945,165,170.1799927,167.8899994,188900,165.9541626
15-06-2020,169.9100037,164.2299957,164.7400055,169.6999969,181100,167.7432861
16-06-2020,173.2899933,168.5899963,173.2899933,169.6900024,242100,167.7334137
17-06-2020,170.8399963,168.3399963,168.9100037,169.8099976,235000,167.8520203
18-06-2020,169.6300049,167.2400055,168.3699951,168.5800018,129200,166.6362
19-06-2020,169.8600006,167.75,168.2700043,168.2100067,183700,166.2704773
22-06-2020,172.7200012,170.5899963,172.7200012,171.4499969,173000,169.4730988
23-06-2020,175.6100006,173.0299988,174.8300018,173.0500031,184500,171.0546722
24-06-2020,171.5200043,167.5,170.6000061,168.6900024,168500,166.7449341
25-06-2020,170.1699982,166.3300018,167.7799988,170.0899963,147800,168.1287842
26-06-2020,172.4250031,168.9100037,172.1699982,169.6199951,131300,167.6641998
29-06-2020,171.7669983,169.1100006,171.1699982,170.9799957,130900,169.0085144
30-06-2020,171.9499969,168.0899963,168.5,171.0099945,189300,169.0381775
01-07-2020,172.7700043,168.7899933,169.6600037,171.9400024,192600,169.9574585
02-07-2020,174.8200073,171.9799957,173.9299927,172.1600037,142200,170.1749268
06-07-2020,177.2200012,175.1799927,175.8000031,176.0099945,214000,173.9805298
07-07-2020,176.75,173.1999969,176.4400024,173.5099945,146600,171.5093536
08-07-2020,176.6000061,174.0200043,175.5800018,175.9100037,190100,173.8816833
09-07-2020,177.6300049,174.4799957,177.1999969,177.5599976,274200,175.5126648
10-07-2020,179.3000031,176.5899963,178.2200012,179,149400,176.9360504
13-07-2020,180.3500061,175.8699951,179.5,176.3300018,330800,174.2968445
14-07-2020,178.1699982,174.2200012,174.2700043,178.1000061,172600,176.0464478
15-07-2020,180.4179993,178.1999969,179.1100006,179,148700,176.9360504
16-07-2020,177.9799957,176.4600067,177.1600037,177.3899994,107000,175.3446198
17-07-2020,177.6869965,175.4900055,177.2400055,177.5599976,116200,175.5126648
20-07-2020,181.4149933,178.0099945,178.3000031,180.7899933,155400,178.7054138
21-07-2020,183.0500031,180.4900055,182.2599945,180.8500061,160700,178.7647247
22-07-2020,183.5,181.3300018,182.6799927,183.0299988,115500,180.9195862
23-07-2020,185.3600006,181.7599945,184,182.1799927,243700,180.0793762
24-07-2020,180.4100037,178.3000031,179.6399994,179.1900024,129400,177.1238556
27-07-2020,182.6799927,179.0050049,181.3300018,179.9299927,301900,177.8553314
28-07-2020,180.1649933,178.4400024,179,178.8899994,95400,176.8273315
29-07-2020,182.3999939,179.9100037,180.5099945,182.1999969,152900,180.0991669
30-07-2020,181.5299988,178.0299988,178.2799988,181.0200043,145300,178.9327698
31-07-2020,181.8300018,178.0500031,180.9900055,181.6999969,270900,179.6049194
03-08-2020,189.2599945,180.3399963,181.5599976,186.4499969,413300,184.3001556
04-08-2020,187.0850067,182.2100067,182.5299988,185.5099945,483300,183.3710022
05-08-2020,188.8500061,186.1900024,188,186.7299957,360500,184.5769196
06-08-2020,187.4100037,185.1399994,185.7400055,186.6399994,126900,184.4879761
07-08-2020,187.2799988,184.4799957,186.5399933,185.9499969,119900,183.8059082
10-08-2020,184.8300018,182.7799988,183.8800049,184.25,149900,182.1255188
11-08-2020,189.2050018,185.3200073,187.8000031,185.4900055,229500,183.3512268
12-08-2020,193.8300018,190.6199951,191.0599976,192.6300049,369300,190.408905
13-08-2020,196.5299988,193.5,193.7100067,194.3200073,245500,192.079422
14-08-2020,195.4100037,193.1999969,194.8099976,194.3000031,228000,192.0596466
17-08-2020,198.5500031,195.8099976,195.8699951,197.1900024,223200,194.9163208
18-08-2020,199.6199951,196.1300049,199,196.3000031,139000,194.0365906
19-08-2020,197.1000061,194.4299927,197.1000061,194.7100067,152500,192.46492
20-08-2020,195.4400024,192.1820068,192.4600067,195.0200043,114200,192.771347
21-08-2020,194.6199951,191.5399933,191.6199951,193.8099976,127200,191.5752869
24-08-2020,197.3800049,194.9669952,197.3800049,195.4299927,101600,193.1766052
25-08-2020,198.2949982,195.4700012,198.2700043,197.3099976,87600,195.0349274
26-08-2020,199.9700012,196,196.0599976,199.2899933,215500,196.9921112
27-08-2020,198.5500031,194.3099976,198.4600067,195.5099945,189700,193.2556915
28-08-2020,196.7100067,195.2449951,196.1100006,196.3000031,91900,194.0365906
31-08-2020,196.1799927,194.2799988,195.6799927,194.75,102000,192.5044556
01-09-2020,195.6600037,193.5599976,194.2299957,195.5700073,164900,193.3150024
02-09-2020,197.5500031,195.0099945,197.5500031,196.6900024,304700,194.4220886
03-09-2020,196.1000061,190,196.1000061,190.9700012,313800,188.7680359
04-09-2020,192.9600067,187.1399994,191.9499969,191.7400055,137600,189.5291748
08-09-2020,190.5899963,185.8399963,186.5399933,185.8399963,222100,183.6971893
09-09-2020,191.7899933,188.6799927,189.0200043,189.4199982,161100,187.2359161
10-09-2020,191.197998,187.5299988,190,187.8600006,188400,185.6939087
11-09-2020,192.25,189.6100006,190.6999969,191.7200012,215800,189.5093842
14-09-2020,193.0200043,191.0200043,191.7899933,191.9900055,233800,189.7762756
15-09-2020,194.7599945,191.2749939,194.4700012,191.5800018,94500,189.3710022
16-09-2020,192.4199982,188.4700012,192.0299988,188.8500061,139100,186.6724854
17-09-2020,190.9299927,187.7400055,187.9100037,190.1399994,93100,187.9476013
18-09-2020,189.7599945,186.6999969,188.6699982,187.9199982,122000,185.7531891
21-09-2020,184.4199982,180.6600037,183.8999939,184.1000061,169500,181.9772491
22-09-2020,183.8800049,181.973999,183.0500031,183.3000031,154300,181.1864777
23-09-2020,184.1799927,181.2899933,183.4400024,181.5800018,125100,179.4863129
24-09-2020,184.7599945,180.8000031,182.0099945,182.8300018,142800,180.7218933
